contract_address,name,symbol,decimals
bdsm.token0.near,BDSM,BDSM,18
bdt1.tkn.near,Base Token V1,BDT1,18
bdy.tkn.near,Birdy,BDY,18
bean.tkn.near,BEAN,BEAN,18
beanz.tkn.near,beanz,BEANZ,18
beast.gra-fun.near,Crypto Beast,BEAST,24
beasty.aidols.near,CoinBeast,BEASTY,24
bee.tkn.near,BeeTogether,BEE,2
beer.tkn.near,Beer Token,BEER,18
bees.tkn.near,BEES,BEES,0
belma.gra-fun.near,Belgian Malinois,Belma,24
benthedog.near,Ben the Dog,BENDOG,9
bera.omft.near,Berachain,BERA,18
betear.aidols.near,Bettear,BETEAR,24
bfi.aidols.near,BullishFriends,BFI,24
bgn.tkn.near,BGN Token,BGN,18
bgn.token0.near,Big John,BGN,18
bravohitz.near,bravohitz💦💦💦💦💦💦💦💦💦,BH💦,0
bhc.tkn.near,bhc,bhc,18
b8919522331c59f5c16bdfaa6a121a6e03a91f62.factory.bridge.near,bHome,bHOME,6
bidbot.aidols.near,BIDBOT Supreme,BIDBOT,24
biden.tkn.near,Biden,Biden,18
bidenpow.token0.near,Biden Power,BIDENPOW,18
bidw.aidols.near,BidWarrior,BIDW,24
bierstreit.tkn.near,Bierstreit,BIERSTREIT,18
big.tkn.near,Block Imperium Games,BIG,18
billy.token0.near,BILLY,BILLY,18
bin-1088.meme-cooking.near,bingo,BIN,18
bird1.token0.near,BIRD,BIRD,18
bitcoin.tkn.near,BTC,Bitcoin,18
bitcoin.token0.near,Bitcoin,BITCOIN,18
bkr.token0.near,BobrKurva,BKR,18
bkt001.aidols.near,Barkitect,BKT001,24
blackpoints.tkn.near,Blackpoints,blackpoints,2
blago.tkn.near,BLAGO,BLAGO,0
blaze.tkn.near,BlazeN Fast,BLAZE,18
blcsq.aidols.near,Black Square,BLCSQ,24
blcsqr.aidols.near,iBlack,BLCSQR,24
cdcode02.near,BlEsS,BLE,24
blsd.tkn.near,Blessed ,BLSD,18
blum1.token0.near,BLUM,BLUM,18
blwrn.token0.near,BlackWaren,BLWRN,18
bmb.gra-fun.near,BigMemeBag,BMB,24
bmw.gra-fun.near,MEM BMW,BMW,24
bsc.omft.near,BNB,BNB,18
bnb.tkn.near,Binance Coin,BNB,18
bnd-202407.finby.near,Finby BND,BND,0
bnear.token0.near,Baby Near,BNEAR,18
bnn.tkn.near,Banana finance,BNN,18
bob.tkn.near,BobOnNear,BOB,18
bob.token0.near,Spongebob,BOB,18
bober.gra-fun.near,Kurwa Rakketa ,BOBER,24
bobo.tkn.near,AlliveBob,BOBO,18
bol.gra-fun.near,BOL,BOL,24
boltubs.gra-fun.near,Bolt's Legacy,boltubs,24
bolz.gra-fun.near,Harry bolz,Bolz,24
sol-57d087fd8c460f612f8701f5499ad8b2eec5ab68.omft.near,BOOK OF MEME,BOME,6
bome.token0.near,BOOK OF MEME,BOME,18
bones.tkn.near,Chicken Bones,bones,18
bonk.token0.near,BONK COIN,BONK,18
boo.tkn.near,Pomeranian,BOO,18
boo.token0.near,Majin-Buu,BOO,18
boobs.tkn.near,BOOBS DRAGON,BOOBS,18
boon.tkn.near,Boon,BOON,18
booth-639.meme-cooking.near,The Booth,BOOTH,18
bork.token0.near,BORK,BORK,18
boss.tkn.near,hello boss how are you www.boss.com,BOSS,18
bowenw.aidols.near,BowenW,BowenW,24
boys.token0.near,Boys Club,BOYS,18
bp.token0.near,ButtPlug,BP,18
bpad.tkn.near,BISPAD,BPAD,18
bpanda.token0.near,FUBAO,BPANDA,18
swxpm2h8tk.vrtx,BLPASv1,BPS,18
bpurge-746.meme-cooking.near,BabyPurge,Bpurge,18
br.token0.near,Brasil na Area,BR,18
bran.token0.near,Branermus,BRAN,18
brcg-914.meme-cooking.near,BorgiCoin,BRCG,18
breast.gra-fun.near,Lovely breast,Breast,24
brett.token0.near,Brett,BRETT,18
base-0x532f27101965dd16442e59d40670faf5ebb142e4.omft.near,Brett,BRETT,18
base-0x532f27101965dd16442e59d40670faf5ebb142e4.duse.near,Brett,BRETT,18
brex.aidols.near,Barkitect Rex,BRex,24
broc.aidols.near,BROCCOLI,BROC,24
broccoli.gra-fun.near,Broccoli,Broccoli,24
brocoli.gra-fun.near,CZ's Dog,BROCOLI,24
brokedev-1024.meme-cooking.near,Alex needs Smoney,Brokedev,18
brrr.tkn.near,Burrow Token,BRRR,18
bry.tkn.near,Berries,BRY,18
bsa.tkn.near,BigShortAlliance,BSA,18
bsc.tkn.near,bullshitcash,BSC,0
27.contract.portalbridge.near,BSKT,BSKT,5
bst.tkn.near,Busterius,BST,7
token.bwitter.near,Bwitter Token,BT,18
btc.token0.near,Bitcoin,BTC,18
btc.omft.near,Bitcoin,BTC,8
btc-native.duse.near,Bitcoin,BTC,8
btc.tkn.near,Bitcoin,BTC,18
15.contract.portalbridge.near,Wrapped Bitcoin (Sollet),BTC,6
bto.gra-fun.near,Bitcoin Overlord,BTO,24
btor.tkn.near,BTOR,BTOR,18
bttm.tfactory.near,BULL TO THE MOON,BTTM,18
buddha.token0.near,Buddha,BUDDHA,18
build.token0.near,BUILD,BUILD,18
bulla.tkn.near,BULLA,BULLA,18
bullish-1254.meme-cooking.near,Bullish friends,Bullish,18
buqa.gra-fun.near,BUKA,BUQA,24
burger.tkn.primitives.near,Burger,burger,2
burgr.token0.near,Burger,BURGR,18
burn-1411.meme-cooking.near,BURN,BURN,18
burrowfinancedao.near,Burrow Finance Rewards (https://burrowfi.com),BurrowFi.com,24
burrowrewards.near,Burrow Finance Rewards (https://burrowfi.com),BurrowFi.com,17
butt.tkn.near,Buttcoin,BUTT,0
bxf.tkn.near,Super puper token,BXF,18
c.tkn.near,Credit,C,18
caca.tkn.near,Craft & Crypto Art,CACA,18
cacao.dagro.near,Cacao,CACAO,6
cafe.devtest.near,CAFE,CAFE,12
cafe.dagro.near,Cafe,CAFE,6
token.elcafecartel.near,CAFE,CAFE,12
cai.gra-fun.near,CATAI,CAI,24
callme.tkn.near,Call Me!,CALLME,18
cam-167.meme-cooking.near,CAM,cam,18
cambur.dagro.near,Cambur,CAMBUR,6
camera.tkn.near,Media,Camera,18
cana.dagro.near,Cana,CANA,6
candy.tfactory.near,Candy,CANDY,18
capstory.token0.near,$CAP,CAPSTORY,18
caraota.dagro.near,Caraota,CARAOTA,6
carbon.tkn.near,The Carbon Games,CARBON,4
carne_bovina.dagro.near,Carne Bovina,CARNE_BOVINA,6
cart.tkn.near,𝙲𝙾𝙳𝙰𝙼𝙴 𝙲𝙰𝚁𝚃,CART,18
cas.tkn.near,Castor fiber,CAS,18
cash.tkn.near,NEAR Cash,CASH,18
casper.gra-fun.near,Casper,CASPER,24
cat.token0.near,Cat Attack,CAT,18
cat1.token0.near,Sigma Cat,CAT,18
cat.tkn.near,Catalyst,CAT,18
cat.tfactory.near,Small Cat,CAT,18
cat22.tfactory.near,Cool Cat,CAT22,18
catai.gra-fun.near,Intelligent Cat,CatAI,24
catboxer.gra-fun.near,CAT Boxer,CATboxer,24
catcoin.token0.near,CAT COIN,CATCOIN,18
catdog.token0.near,CATDOG,CATDOG,18
catjamzcoin.token0.near,CatJAMZCoin,CATJAMZCOIN,18
catpop.token0.near,CATPOP,CATPOP,18
catripz.gra-fun.near,FelineFarewell,catripz,24
catrump.token0.near,CATRUMP,CATRUMP,18
catz.token0.near,Catzee,CATZ,18
caxap.tkn.near,CAXAP,CAXAP,18
cb.tkn.primitives.near,Cangreburger,CB,4
