"DATE","BALANCE"
"2021-06-27",405224595.094238
"2021-06-26",405111627.081502
"2021-06-25",404925103.946384
"2021-06-24",405253249.93636
"2021-06-23",405108767.868235
"2021-06-22",405466205.374127
"2021-06-21",403380117.710778
"2021-06-20",408552293.87244
"2021-06-19",408491519.339831
"2021-06-18",408181488.658317
"2021-06-17",407805203.865588
"2021-06-16",414502364.885009
"2021-06-15",410859291.493012
"2021-06-14",409585157.29188
"2021-06-13",409358928.936853
"2021-06-12",409193682.082807
"2021-06-11",410510998.701058
"2021-06-10",410655814.620413
"2021-06-09",410800356.251887
"2021-06-08",410098142.383534
"2021-06-07",409703110.984207
"2021-06-06",409943609.389132
"2021-06-05",409205356.975575
"2021-06-04",407452375.96082
"2021-06-03",407390652.735435
"2021-06-02",406724990.631216
"2021-06-01",406569248.902658
"2021-05-31",406654211.343975
"2021-05-30",408366331.23643
"2021-05-29",408038563.798732
"2021-05-28",408224906.136183
"2021-05-27",408345096.639162
"2021-05-26",408609742.732926
"2021-05-25",411838571.298338
"2021-05-24",413621722.644841
"2021-05-23",413448281.42633
"2021-05-22",414047654.345328
"2021-05-21",410890913.098115
"2021-05-20",411863021.469743
"2021-05-19",412581533.010763
"2021-05-18",413401547.707404
"2021-05-17",412601445.325797
"2021-05-16",412626085.908917
"2021-05-15",415171853.315903
"2021-05-14",415500804.186747
"2021-05-13",414146743.474843
"2021-05-12",414233270.368382
"2021-05-11",414151850.702264
"2021-05-10",413508835.914383
"2021-05-09",411460477.291744
"2021-05-08",411269261.201206
"2021-05-07",411470013.179451
"2021-05-06",411350998.1015
"2021-05-05",411369679.688847
"2021-05-04",409030545.56816
"2021-05-03",407529102.710604
"2021-05-02",405743964.095586
"2021-05-01",405512215.429128
"2021-04-30",405553857.02517
"2021-04-29",405684891.696715
"2021-04-28",405666388.488071
"2021-04-27",404771238.693087
"2021-04-26",408772346.339772
"2021-04-25",408321420.934932
"2021-04-24",408771995.574716
"2021-04-23",408453698.664184
"2021-04-22",407772245.063835
"2021-04-21",410956926.223357
"2021-04-20",408771548.79845
"2021-04-19",408913417.175138
"2021-04-18",409120679.906716
"2021-04-17",409197986.574788
"2021-04-16",409328717.160446
"2021-04-15",404159754.517027
"2021-04-14",403599978.959693
"2021-04-13",403450229.138475
"2021-04-12",406626209.199459
"2021-04-11",407917424.702237
"2021-04-10",408192070.331913
"2021-04-09",408456515.270787
"2021-04-08",412059808.884612
"2021-04-07",413840814.624028
"2021-04-06",412988498.556273
"2021-04-05",413179109.77122
"2021-04-04",409812472.446349
"2021-04-03",409711726.401102
"2021-04-02",412491522.723343
"2021-04-01",412613605.566958
"2021-03-31",411915549.413355
"2021-03-30",409943906.204896
"2021-03-29",410235313.458824
"2021-03-28",410640554.13055
"2021-03-27",413268218.007169
"2021-03-26",413164075.872478
"2021-03-25",412913289.501231
"2021-03-24",410417269.050282
"2021-03-23",409850800.785629
"2021-03-22",409691225.570465
"2021-03-21",412592109.531454
"2021-03-20",412824449.369031
"2021-03-19",411617148.104452
"2021-03-18",409950773.313567
"2021-03-17",409136312.112247
"2021-03-16",408624996.324375
"2021-03-15",409345229.03506
"2021-03-14",401163848.176363
"2021-03-13",400099020.004001
"2021-03-12",398977105.438904
"2021-03-11",400348517.255326
"2021-03-10",400561300.665152
"2021-03-09",397356406.337006
"2021-03-08",397276946.570038
"2021-03-07",397159616.830861
"2021-03-06",397046639.629781
"2021-03-05",396877137.449246
"2021-03-04",396982088.391669
"2021-03-03",396754383.918995
"2021-03-02",384935017.482525
"2021-03-01",382691902.531964
"2021-02-28",382887655.717334
"2021-02-27",383031745.615228
"2021-02-26",384031058.941371
"2021-02-25",383514315.520155
"2021-02-24",383357504.839459
"2021-02-23",380441294.419128
"2021-02-22",382208397.771338
"2021-02-21",381897176.516246
"2021-02-20",382014398.008077
"2021-02-19",383005589.899543
"2021-02-18",381111894.813419
"2021-02-17",383403594.054322
"2021-02-16",381613103.979244
"2021-02-15",381140111.170985
"2021-02-14",380708931.505625
"2021-02-13",381660476.091423
"2021-02-12",377584946.279782
"2021-02-11",376566752.149355
"2021-02-10",375802645.243573
"2021-02-09",375886197.30416
"2021-02-08",375052288.130569
"2021-02-07",380916197.169191
"2021-02-06",381968194.978714
"2021-02-05",381291279.748384
"2021-02-04",387669804.902216
